City,Bathroom,Balcony,BHK,Area (Sqft),Floor Ratio,New Property,Resale,Furnished,Semi-Furnished,Freehold,Co-operative Society,Leasehold,Power Of Attorney,Age Less than 5 Years,Age 5 to 10 Years,Age 15 to 20 Years,New Construction,Age above 20 Years,Main Road,Garden/Park,Pool,Parking Spaces,Amount (Lac)
Agra,2,2,2,1250,0.08,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,42
Agra,2,1,3,1500,0.25,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,49
Agra,2,2,2,1210,0.67,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,50
Agra,1,2,2,862,0.09,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,42
Agra,2,1,2,1212,0.4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,42
Agra,2,2,2,1080,0.0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,47
Agra,2,1,2,1085,0.5,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,42
Agra,3,4,3,1675,0.86,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,62
Agra,2,2,3,1475,1.0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,55
Agra,2,2,2,1320,0.67,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,55
Agra,2,2,2,1100,0.5,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,49
Agra,3,2,3,1550,0.5,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,55
Agra,2,2,2,743,0.5,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,34
Agra,3,2,3,1604,0.4,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,50
Agra,2,2,2,862,0.09,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,42
Agra,2,1,2,900,1.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,37
Agra,2,3,3,925,0.8,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,35
Agra,2,1,3,1150,0.33,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,45
Agra,2,2,2,1325,0.1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,57
Agra,3,2,3,1650,0.1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,55
Agra,2,2,2,1050,0.09,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,35
Agra,2,2,2,1105,0.73,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,42
Agra,2,2,3,1125,0.0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,40
Agra,2,1,2,950,0.8,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,42
Agra,2,2,2,1140,0.6,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,50
Agra,2,1,3,1050,1.0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,42
Agra,2,2,3,1500,1.0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,60
Agra,2,2,2,1250,0.33,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,46
Agra,2,1,3,1300,0.62,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,45
Agra,2,1,2,700,0.79,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,40
Agra,2,2,2,1250,0.25,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,42
Agra,2,2,3,1375,0.8,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,55
Agra,2,2,2,1255,0.9,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,50
Agra,3,2,3,1675,0.5,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,54
Agra,2,3,2,980,1.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,34
Agra,2,2,3,918,0.33,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,50
Agra,2,2,3,1229,1.0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,42
Agra,2,1,2,820,0.71,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,42
Agra,2,3,2,1250,0.92,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,50
Agra,2,2,2,920,0.43,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,41
Agra,2,2,2,1105,0.73,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,45
Agra,2,2,2,1255,0.36,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,42
Agra,2,1,2,1150,0.5,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,41
Agra,2,2,3,1228,1.0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,50
Agra,2,3,2,900,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,45
Agra,2,2,3,1075,0.17,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,40
Agra,2,2,3,1250,0.6,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,56
Agra,2,3,2,1250,0.5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,47
Agra,2,1,3,1200,0.78,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,45
Agra,3,2,3,1600,0.73,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,62
Agra,2,2,3,1350,1.0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,64
Agra,1,2,2,950,0.5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,35
Agra,2,2,2,1252,0.55,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,55
Agra,2,2,3,1500,0.25,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,48
Agra,3,2,3,1675,0.27,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,63
Agra,2,2,3,891,0.67,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,37
Agra,3,2,3,1550,0.27,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,57
Agra,2,1,2,928,0.71,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,40
Agra,2,2,2,800,0.0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,41
Agra,3,2,3,1300,0.44,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,55
Agra,2,2,2,1750,0.75,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,59
Agra,2,2,2,1350,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,42
Agra,2,1,2,820,0.79,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,40
Agra,2,2,2,1100,0.8,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,50
Agra,2,2,2,1250,1.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,46
Agra,2,2,2,1000,0.6,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,35
Agra,2,2,3,1400,0.75,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,60
Agra,2,2,2,990,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,37
Agra,3,2,3,1550,0.89,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,51
Agra,2,1,3,1254,0.36,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,50
Agra,2,2,2,1125,0.5,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,45
Agra,2,1,2,700,0.64,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,41
Agra,2,2,2,1050,0.21,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,37
Agra,2,1,2,850,1.0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,40
Agra,3,2,3,1715,0.4,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,62
Agra,3,4,3,1500,0.17,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,60
Agra,2,1,3,1207,0.5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,50
Agra,2,2,3,1250,0.67,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,45
Agra,2,2,2,1000,0.44,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,42
Agra,2,2,3,1250,0.8,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,50
Agra,2,2,2,1150,0.3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,40
Agra,2,2,2,1100,0.44,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,42
Agra,2,2,2,1000,0.6,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,43
Agra,2,2,2,820,0.35,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,42
Agra,2,1,2,870,0.36,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,37
Agra,2,2,3,1100,0.5,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,56
Agra,3,2,3,1600,0.33,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,58
